sale_id,order_id,sale_timestamp,product_id,quantity,staff_id
SALE-0000001,ORD-20250913-00001,13-09-2025 19:59,PROD-013,1,EMP-001
SALE-0000002,ORD-20250913-00001,13-09-2025 11:55,PROD-013,1,EMP-001
SALE-0000003,ORD-20250913-00001,13-09-2025 20:16,PROD-032,1,EMP-001
SALE-0000004,ORD-20250913-00001,13-09-2025 13:46,PROD-037,1,EMP-001
SALE-0000005,ORD-20250913-00001,13-09-2025 09:03,PROD-002,1,EMP-001
SALE-0000006,ORD-20250913-00002,13-09-2025 12:32,PROD-013,1,EMP-002
SALE-0000007,ORD-20250913-00003,13-09-2025 17:04,PROD-031,1,EMP-003
SALE-0000008,ORD-20250913-00003,13-09-2025 18:36,PROD-002,1,EMP-003
SALE-0000009,ORD-20250913-00003,13-09-2025 10:37,PROD-034,1,EMP-003
SALE-0000010,ORD-20250913-00003,13-09-2025 14:15,PROD-053,1,EMP-003
SALE-0000011,ORD-20250913-00003,13-09-2025 10:59,PROD-001,1,EMP-003
SALE-0000012,ORD-20250913-00004,13-09-2025 07:13,PROD-048,2,EMP-004
SALE-0000013,ORD-20250913-00004,13-09-2025 17:23,PROD-060,1,EMP-004
SALE-0000014,ORD-20250913-00004,13-09-2025 12:51,PROD-042,1,EMP-004
SALE-0000015,ORD-20250913-00004,13-09-2025 13:56,PROD-012,1,EMP-004
SALE-0000016,ORD-20250913-00004,13-09-2025 08:18,PROD-040,1,EMP-004
SALE-0000017,ORD-20250913-00005,13-09-2025 11:57,PROD-005,1,EMP-017
SALE-0000018,ORD-20250913-00005,13-09-2025 17:02,PROD-015,1,EMP-017
SALE-0000019,ORD-20250913-00005,13-09-2025 09:47,PROD-050,1,EMP-017
SALE-0000020,ORD-20250913-00006,13-09-2025 18:44,PROD-007,1,EMP-003
SALE-0000021,ORD-20250913-00007,13-09-2025 08:08,PROD-007,2,EMP-018
SALE-0000022,ORD-20250913-00007,13-09-2025 08:15,PROD-060,2,EMP-018
SALE-0000023,ORD-20250913-00007,13-09-2025 10:39,PROD-031,2,EMP-018
SALE-0000024,ORD-20250913-00007,13-09-2025 19:51,PROD-001,1,EMP-018
SALE-0000025,ORD-20250913-00007,13-09-2025 18:50,PROD-053,2,EMP-018
SALE-0000026,ORD-20250913-00008,13-09-2025 08:44,PROD-007,2,EMP-009
SALE-0000027,ORD-20250913-00008,13-09-2025 08:52,PROD-036,1,EMP-009
SALE-0000028,ORD-20250913-00009,13-09-2025 07:12,PROD-008,2,EMP-008
SALE-0000029,ORD-20250913-00009,13-09-2025 09:41,PROD-060,1,EMP-008
SALE-0000030,ORD-20250913-00010,13-09-2025 17:16,PROD-028,1,EMP-004
SALE-0000031,ORD-20250913-00011,13-09-2025 09:50,PROD-058,1,EMP-014
SALE-0000032,ORD-20250913-00011,13-09-2025 18:12,PROD-050,1,EMP-014
SALE-0000033,ORD-20250913-00011,13-09-2025 18:34,PROD-014,1,EMP-014
SALE-0000034,ORD-20250913-00011,13-09-2025 07:42,PROD-040,1,EMP-014
SALE-0000035,ORD-20250913-00011,13-09-2025 07:57,PROD-050,1,EMP-014
SALE-0000036,ORD-20250913-00012,13-09-2025 07:26,PROD-013,1,EMP-018
SALE-0000037,ORD-20250913-00012,13-09-2025 09:35,PROD-036,1,EMP-018
SALE-0000038,ORD-20250913-00012,13-09-2025 16:38,PROD-046,1,EMP-018
SALE-0000039,ORD-20250913-00013,13-09-2025 10:57,PROD-005,1,EMP-017
SALE-0000040,ORD-20250913-00013,13-09-2025 13:39,PROD-031,1,EMP-017
SALE-0000041,ORD-20250913-00014,13-09-2025 08:02,PROD-023,1,EMP-007
SALE-0000042,ORD-20250913-00014,13-09-2025 17:36,PROD-026,1,EMP-007
SALE-0000043,ORD-20250913-00015,13-09-2025 13:00,PROD-006,1,EMP-005
SALE-0000044,ORD-20250913-00015,13-09-2025 08:51,PROD-007,1,EMP-005
SALE-0000045,ORD-20250913-00016,13-09-2025 07:29,PROD-060,1,EMP-015
SALE-0000046,ORD-20250913-00017,13-09-2025 10:58,PROD-021,1,EMP-017
SALE-0000047,ORD-20250913-00017,13-09-2025 10:16,PROD-034,1,EMP-017
SALE-0000048,ORD-20250913-00017,13-09-2025 11:40,PROD-012,1,EMP-017
SALE-0000049,ORD-20250913-00017,13-09-2025 08:21,PROD-005,1,EMP-017
SALE-0000050,ORD-20250913-00018,13-09-2025 13:45,PROD-050,1,EMP-013
SALE-0000051,ORD-20250913-00018,13-09-2025 10:03,PROD-026,2,EMP-013
SALE-0000052,ORD-20250913-00019,13-09-2025 17:48,PROD-004,2,EMP-001
SALE-0000053,ORD-20250913-00019,13-09-2025 09:24,PROD-027,1,EMP-001
SALE-0000054,ORD-20250913-00019,13-09-2025 15:51,PROD-037,1,EMP-001
SALE-0000055,ORD-20250913-00019,13-09-2025 10:01,PROD-049,1,EMP-001
SALE-0000056,ORD-20250913-00019,13-09-2025 17:58,PROD-045,1,EMP-001
SALE-0000057,ORD-20250913-00020,13-09-2025 07:27,PROD-013,1,EMP-001
SALE-0000058,ORD-20250913-00020,13-09-2025 10:13,PROD-049,1,EMP-001
SALE-0000059,ORD-20250913-00020,13-09-2025 18:26,PROD-037,1,EMP-001
SALE-0000060,ORD-20250913-00020,13-09-2025 12:22,PROD-002,1,EMP-001
SALE-0000061,ORD-20250913-00021,13-09-2025 17:39,PROD-046,1,EMP-007
SALE-0000062,ORD-20250913-00021,13-09-2025 12:13,PROD-025,1,EMP-007
SALE-0000063,ORD-20250913-00022,13-09-2025 16:10,PROD-003,2,EMP-004
SALE-0000064,ORD-20250913-00022,13-09-2025 12:58,PROD-055,1,EMP-004
SALE-0000065,ORD-20250913-00022,13-09-2025 12:53,PROD-036,2,EMP-004
SALE-0000066,ORD-20250913-00022,13-09-2025 12:07,PROD-009,1,EMP-004
SALE-0000067,ORD-20250913-00022,13-09-2025 10:23,PROD-040,1,EMP-004
SALE-0000068,ORD-20250913-00023,13-09-2025 07:23,PROD-032,1,EMP-016
SALE-0000069,ORD-20250913-00023,13-09-2025 10:46,PROD-033,1,EMP-016
SALE-0000070,ORD-20250913-00023,13-09-2025 18:49,PROD-055,1,EMP-016
SALE-0000071,ORD-20250913-00023,13-09-2025 09:15,PROD-018,2,EMP-016
SALE-0000072,ORD-20250913-00024,13-09-2025 12:42,PROD-046,2,EMP-015
SALE-0000073,ORD-20250913-00024,13-09-2025 08:13,PROD-020,1,EMP-015
SALE-0000074,ORD-20250913-00025,13-09-2025 12:33,PROD-050,1,EMP-009
SALE-0000075,ORD-20250913-00025,13-09-2025 16:44,PROD-037,1,EMP-009
SALE-0000076,ORD-20250913-00025,13-09-2025 06:18,PROD-031,1,EMP-009
SALE-0000077,ORD-20250913-00025,13-09-2025 12:30,PROD-027,3,EMP-009
SALE-0000078,ORD-20250913-00025,13-09-2025 12:22,PROD-019,1,EMP-009
SALE-0000079,ORD-20250913-00026,13-09-2025 09:47,PROD-024,1,EMP-007
SALE-0000080,ORD-20250913-00027,13-09-2025 14:48,PROD-012,1,EMP-009
SALE-0000081,ORD-20250913-00027,13-09-2025 09:23,PROD-060,1,EMP-009
SALE-0000082,ORD-20250913-00027,13-09-2025 07:03,PROD-016,1,EMP-009
SALE-0000083,ORD-20250913-00027,13-09-2025 16:06,PROD-036,1,EMP-009
SALE-0000084,ORD-20250913-00028,13-09-2025 08:03,PROD-037,1,EMP-011
SALE-0000085,ORD-20250913-00028,13-09-2025 07:31,PROD-007,1,EMP-011
SALE-0000086,ORD-20250913-00028,13-09-2025 16:19,PROD-023,1,EMP-011
SALE-0000087,ORD-20250913-00028,13-09-2025 10:38,PROD-057,1,EMP-011
SALE-0000088,ORD-20250913-00029,13-09-2025 09:37,PROD-007,1,EMP-015
SALE-0000089,ORD-20250913-00029,13-09-2025 15:48,PROD-018,1,EMP-015
SALE-0000090,ORD-20250913-00029,13-09-2025 08:11,PROD-003,1,EMP-015
SALE-0000091,ORD-20250913-00029,13-09-2025 13:30,PROD-036,1,EMP-015
SALE-0000092,ORD-20250913-00030,13-09-2025 13:59,PROD-056,1,EMP-003
SALE-0000093,ORD-20250913-00030,13-09-2025 18:27,PROD-010,2,EMP-003
SALE-0000094,ORD-20250913-00030,13-09-2025 17:04,PROD-036,1,EMP-003
SALE-0000095,ORD-20250913-00030,13-09-2025 17:58,PROD-046,1,EMP-003
